make,model,km_driven,ownership,transmission,engine,fuel,city,reg_year_int,car_age,price
Kia,Carens Prestige BSVI,50000.0,Second Owner,Manual,1497.0,Petrol,Chandigarh,2022.0,3.0,1100000.0
Volkswagen,Ameo 1.0 MPI Highline Plus,88189.0,First Owner,Manual,999.0,Petrol,Ahmedabad,2019.0,6.0,459000.0
Toyota,Fortuner 4x2 AT,121000.0,First Owner,Automatic,2982.0,Diesel,Mumbai,2013.0,12.0,1275000.0
Mahindra,XUV500 R W10 FWD,95000.0,First Owner,Manual,2179.0,Diesel,Noida,2015.0,10.0,575000.0
Honda,City i VTEC CVT VX,82000.0,First Owner,Automatic,1497.0,Petrol,Noida,2015.0,10.0,535000.0
Mahindra,Marazzo M4,114000.0,First Owner,Manual,1497.0,Diesel,Faridabad,2019.0,6.0,635000.0
Skoda,Superb 1.8 TSI MT,50000.0,First Owner,Manual,1798.0,Petrol,Gurgaon,2012.0,13.0,335000.0
Maruti,Brezza Zxi,38000.0,First Owner,Manual,1462.0,Petrol,Hyderabad,2023.0,2.0,1000000.0
Mahindra,XUV500 W8 FWD,80000.0,First Owner,Manual,2179.0,Diesel,Mumbai,2014.0,11.0,595000.0
Mahindra,XUV500 W7 AT BSIV,58000.0,First Owner,Automatic,2179.0,Diesel,New Delhi,2019.0,6.0,1025000.0
Toyota,Corolla Altis JS MT,71000.0,Second Owner,Manual,1798.0,Petrol,Noida,2015.0,10.0,500000.0
Hyundai,Grand i10 Nios Sportz,31557.0,First Owner,Manual,1197.0,Petrol,Chennai,2021.0,4.0,610000.0
Volkswagen,Vento 1.6 Trendline,73000.0,First Owner,Manual,1598.0,Petrol,Chennai,2016.0,9.0,450000.0
Hyundai,Venue S,36145.0,First Owner,Manual,1197.0,Petrol,Chandigarh,2022.0,3.0,710000.0
Hyundai,Grand i10 1.2 Kappa Sportz Option,54905.0,First Owner,Manual,1197.0,Petrol,Noida,2017.0,8.0,364000.0
Toyota,Taisor G Turbo,1148.0,First Owner,Manual,998.0,Petrol,Gurgaon,2025.0,0.0,997000.0
Hyundai,Creta 1.6 CRDi SX Plus,46100.0,First Owner,Manual,1582.0,Diesel,Kolkata,2015.0,10.0,549000.0
Toyota,Innova Crysta 2.7 ZX 7 STR AT,27000.0,Second Owner,Automatic,2694.0,Petrol,Chennai,2022.0,3.0,2390000.0
Hyundai,Grand i10 Magna,50625.0,First Owner,Manual,1197.0,Petrol,Noida,2014.0,11.0,306000.0
Volkswagen,Tiguan 2.0 TDI Highline,165000.0,First Owner,Automatic,1968.0,Diesel,Faridabad,2018.0,7.0,1325000.0
Maruti,Wagon R VXI 1.2,45807.0,First Owner,Manual,1197.0,Petrol,Gurgaon,2018.0,7.0,366000.0
Tata,Safari XTA Plus AT BSVI,45000.0,First Owner,Automatic,1956.0,Diesel,Gurgaon,2023.0,2.0,1550000.0
Hyundai,Grand i10 1.2 Kappa Asta,76448.0,First Owner,Manual,1197.0,Petrol,Pune,2015.0,10.0,439000.0
Renault,KWID RXL,25988.0,First Owner,Manual,799.0,Petrol,Chandigarh,2021.0,4.0,305000.0
Hyundai,i10 Magna 1.2 iTech SE,145000.0,First Owner,Manual,1197.0,Petrol,Gurgaon,2011.0,14.0,120000.0
Renault,Kiger RXZ Turbo CVT,33186.0,First Owner,Automatic,999.0,Petrol,Mumbai,2021.0,4.0,691000.0
Toyota,Innova Crysta 2.4 VX MT,100000.0,Second Owner,Manual,2393.0,Diesel,Chennai,2018.0,7.0,1900000.0
Kia,Seltos HTK Diesel,72000.0,First Owner,Manual,1493.0,Diesel,Faridabad,2020.0,5.0,900000.0
Volkswagen,Polo 1.5 TDI Highline,82000.0,First Owner,Manual,1498.0,Diesel,Jaipur,2014.0,11.0,400000.0
Toyota,Innova Crysta 2.7 ZX 7 STR AT,47198.0,Second Owner,Automatic,2694.0,Petrol,Bangalore,2018.0,7.0,1766000.0
Renault,Triber RXT BSVI,450000.0,First Owner,Manual,999.0,Petrol,Kolkata,2022.0,3.0,499000.0
Honda,City i VTEC V,150000.0,Second Owner,Manual,1497.0,Petrol,Noida,2014.0,11.0,355000.0
Honda,City i VTEC CVT VX,47529.0,First Owner,Automatic,1497.0,Petrol,Noida,2020.0,5.0,900000.0
Kia,Carens Luxury Plus Diesel iMT 6 STR,18734.0,First Owner,Manual,1493.0,Diesel,Bangalore,2023.0,2.0,1679000.0
Volkswagen,Virtus GT Plus DSG,10000.0,First Owner,Automatic,1498.0,Petrol,Gurgaon,2024.0,1.0,1700000.0
Renault,KWID 1.0 RXT Opt,39373.0,First Owner,Manual,999.0,Petrol,Noida,2020.0,5.0,367000.0
Honda,Amaze E Option i-VTEC,49000.0,Second Owner,Manual,1198.0,Petrol,New Delhi,2017.0,8.0,400000.0
Maruti,Baleno 1.2 Zeta,63648.0,First Owner,Manual,1197.0,Petrol,Chandigarh,2016.0,9.0,446000.0
Renault,Triber RXZ Dual Tone,38740.0,First Owner,Manual,999.0,Petrol,Jaipur,2021.0,4.0,610000.0
Hyundai,Creta 1.6 CRDi AT SX Plus,65000.0,First Owner,Automatic,1582.0,Diesel,Gurgaon,2018.0,7.0,975000.0
Tata,Punch Creative Plus,11403.0,First Owner,Manual,1199.0,Petrol,Chennai,2022.0,3.0,848000.0
Toyota,Fortuner 2.7 2WD AT BSIV,160000.0,Second Owner,Automatic,2694.0,Petrol,Chandigarh,2017.0,8.0,2585000.0
Honda,City i VTEC SV,57000.0,First Owner,Manual,1497.0,Petrol,Ahmedabad,2016.0,9.0,565000.0
Toyota,Etios Liva VD,100000.0,First Owner,Manual,1364.0,Diesel,Chandigarh,2016.0,9.0,400000.0
Tata,Tiago 1.2 Revotron XT,23516.0,First Owner,Manual,1199.0,Petrol,Ahmedabad,2022.0,3.0,524000.0
Honda,City ZX CVT,21000.0,First Owner,Automatic,1498.0,Petrol,Kolkata,2024.0,1.0,1199000.0
Maruti,Wagon R LXI CNG,35000.0,First Owner,Manual,998.0,CNG,Mumbai,2014.0,11.0,285000.0
Mahindra,XUV500 W5 BSIV,62000.0,Second Owner,Manual,2179.0,Diesel,Gurgaon,2018.0,7.0,795000.0
Renault,Duster 85PS Diesel RxS,70000.0,First Owner,Manual,1461.0,Diesel,Mohali,2017.0,8.0,655000.0
Tata,Nexon XZ Plus (O) Diesel,18780.0,First Owner,Manual,1497.0,Diesel,Kolkata,2023.0,2.0,875000.0
Tata,Altroz XZ Plus S Dark Edition,20924.0,First Owner,Manual,1199.0,Petrol,Hyderabad,2023.0,2.0,921000.0
Tata,Punch Creative AMT IRA,23000.0,First Owner,Automatic,1199.0,Petrol,Ahmedabad,2023.0,2.0,850000.0
Tata,Nexon XZA Plus AMT S,52630.0,First Owner,Automatic,1199.0,Petrol,Mumbai,2021.0,4.0,882000.0
Kia,Sonet GTX Plus Diesel AT,11900.0,First Owner,Automatic,1493.0,Diesel,Mumbai,2024.0,1.0,1645000.0
